state,total_population,confirmed,deaths,Stay at Home Order,Mandatory Quarantine for Travelers,Non-Essential Business Closures,Large Gatherings Ban,School Closures,Restaurant Limits,Primary Election Postponement,Expands Access to Telehealth Services,stay_at_home,travel_quarantine,gathering_ban,school_close
Alabama,4864680.0,17203,616,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Closed for School Year,Reopened to Dine-in Service,-,-,0,0,0,2
Alaska,693486.0,429,10,Lifted,All Travelers,All Non-Essential Businesses Permitted to Reopen,Lifted,Closed for School Year,Reopened to Dine-in Service,-,Yes,0,3,0,2
Arizona,6946685.0,18472,886,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,-,Yes,0,0,0,2
Arkansas,2985469.0,6777,132,-,From Certain States,-,>10 People Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,-,Yes,0,1,2,2
California,39139822.0,107062,4088,Statewide,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,All Gatherings Prohibited,Recommended Closure for School Year,Closed Except for Takeout/Delivery,-,Yes,2,0,3,1
Colorado,5524205.0,25598,1436,Rolled Back to High Risk Groups,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Below 25,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,-,Yes,1,0,1,2
Connecticut,3581504.0,41762,3868,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Other,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Postponed,Yes,0,0,0,2
Delaware,949495.0,9422,361,Statewide,All Travelers,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Postponed,Yes,2,3,2,2
District of Columbia,684498.0,8717,462,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,-,Yes,0,0,2,2
Florida,20598139.0,55424,2447,Lifted,From Certain States,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Other,Recommended Closure for School Year,Reopened to Dine-in Service with Capacity Limits,-,-,0,1,0,1
Georgia,10297484.0,46297,2002,Rolled Back to High Risk Groups,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Postponed,-,1,0,2,2
Hawaii,1421954.0,649,17,Statewide,All Travelers,Some Non-Essential Businesses Permitted to Reopen,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,-,Yes,2,3,2,2
Idaho,1645513.0,2803,82,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen,Lifted,Recommended Closure,Reopened to Dine-in Service with Capacity Limits,-,Yes,0,0,0,1
Illinois,12816450.0,117455,5270,Statewide,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Below 25,Closed for School Year,Closed Except for Takeout/Delivery,-,Yes,2,0,1,2
Indiana,6637426.0,34217,2124,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Closed,Reopened to Dine-in Service with Capacity Limits,Postponed,-,0,0,1,2
Iowa,3132499.0,19142,528,-,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,-,Yes,0,0,2,2
Kansas,2848136.0,9662,215,Lifted,From Certain States,All Non-Essential Businesses Permitted to Reopen,Expanded to New Limit Below 25,Closed for School Year,Limited Dine-in Service,-,Yes,0,1,1,2
Kentucky,4423748.0,9464,418,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen,Expanded to New Limit Below 25,Recommended Closure for School Year,Reopened to Dine-in Service with Capacity Limits,Postponed,Yes,0,0,1,1
Louisiana,4663616.0,39577,2786,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Postponed,Yes,0,0,2,2
