State (Full Name),Mask Mandates,Mask Mandates Effective Date,Non-Essential Retail Operating Status,Personal Care Services Operating Status,Restaurant Operating Status,Stay-at-Home Orders,Stay-at-Home starting date,Stay-at-Home end date,Travel Restrictions,Travel Restrictions starting,Travel Restrictions ending 
Alabama,No,,6,10,10,No,4/3/2020,4/30/2020,No,,
Alaska,No,,10,10,10,No,3/27/2020,,Yes,5/12/2020,6/2/2020
Arizona,No,,10,10,10,No,3/30/2020,5/15/2020,No,4/9/2020,
Arkansas,No,,6,3,3,No,,,Yes,5/6/2020,
California,No,,3,0,3,Yes,3/19/2020,,No,,
Colorado,No,,6,6,0,No,3/26/2020,4/26/2020,No,,
Connecticut,Yes,4/20/2020,6,0,3,No,3/23/2020,5/20/2020,No,,
Delaware,Yes,4/28/2020,3,3,0,Yes,3/24/2020,5/31/2020,Yes,3/30/2020,6/1/2020
Florida,No,,6,3,6,No,4/3/2020,5/4/2020,Yes,3/24/2020,
Georgia,No,,6,10,10,No,4/3/2020,4/30/2020,No,,
Hawaii,Yes,4/17/2020,6,0,0,Yes,3/25/2020,5/31/2020,Yes,3/17/2020,
Idaho,No,,10,10,10,No,3/25/2020,4/30/2020,No,,
Illinois,Yes,4/30/2020,3,0,0,Yes,3/21/2020,5/30/2020,Yes,5/12/2021,6/2/2021
Indiana,No,,6,10,3,No,3/14/2020,5/4/2020,No,4/9/2021,
Iowa,No,,6,6,6,No,,,Yes,5/6/2021,
Kansas,No,,6,10,6,No,3/30/2020,5/3/2020,No,,
Kentucky,No,,6,3,3,No,3/26/2020,,No,,
Louisiana,No,,3,3,3,No,3/23/2020,5/15/2020,No,,
Maine,Yes,5/1/2020,3,6,3,Yes,4/2/2020,5/31/2020,Yes,3/30/2021,6/1/2021
Maryland,Yes,4/18/2020,6,6,0,No,3/30/2020,5/15/2020,Yes,3/24/2021,
Massachusetts,Yes,5/6/2020,3,6,0,No,3/24/2020,5/18/2020,No,,
Michigan,Yes,4/24/2020,3,0,3,Yes,3/24/2020,6/12/2020,Yes,3/17/2021,
Minnesota,No,,6,0,0,No,3/27/2020,5/17/2020,No,,
Mississippi,No,,6,10,6,No,4/3/2020,4/27/2020,Yes,5/12/2022,6/2/2022
Missouri,No,,3,10,10,No,4/6/2020,5/3/2020,No,4/9/2022,
Montana,No,,6,10,6,No,3/28/2020,4/26/2020,Yes,5/6/2022,
Nebraska,No,,10,3,3,No,,,No,,
Nevada,No,,6,10,3,No,4/1/2020,5/15/2020,No,,
New Hampshire,No,,6,6,3,Yes,3/27/2020,5/31/2020,No,,
New Jersey,Yes,4/10/2020,3,0,0,Yes,3/21/2020,,Yes,3/30/2022,6/1/2022
New Mexico,Yes,5/15/2020,3,0,0,Yes,3/23/2020,5/31/2020,Yes,3/24/2022,
New York,Yes,4/17/2020,3,0,0,No,3/22/2020,5/28/2020,No,,
North Carolina,No,,6,6,6,No,3/30/2020,5/22/2020,Yes,3/17/2022,
North Dakota,No,,10,10,6,No,,,No,,
Ohio,No,,10,10,10,No,3/23/2020,5/20/2020,Yes,5/12/2023,6/2/2023
Oklahoma,No,,10,10,10,No,,,No,4/9/2023,
Oregon,No,,6,3,3,Yes,3/23/2020,,Yes,5/6/2023,
Pennsylvania,Yes,4/19/2020,6,0,0,Yes,4/1/2020,6/4/2020,No,,
Rhode Island,Yes,5/8/2020,3,0,3,No,3/28/2020,5/8/2020,No,,
South Carolina,No,,6,10,6,No,4/7/2020,5/3/2020,No,,
South Dakota,No,,10,10,10,No,,,Yes,3/30/2023,6/1/2023
Tennessee,No,,6,6,6,No,3/31/2020,4/30/2020,Yes,3/24/2023,
Texas,No,,3,10,6,No,4/2/2020,4/30/2020,No,,
